City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,selfoss,63.9331,-20.9971,-0.53,92,92,3.49,IS,1733305486
272,vadso,70.0744,29.7487,-5.91,79,20,5.66,NO,1733305487
273,bonthe,7.5264,-12.505,28.29,71,30,1.33,SL,1733305489
274,tazovsky,67.4667,78.7,-11.02,93,25,4.45,RU,1733305491
275,inhambane,-23.865,35.3833,30.99,62,20,9.26,MZ,1733305492
276,al mayadin,35.0209,40.4535,15.96,38,0,3.41,SY,1733305493
277,tura,25.5198,90.2201,21.65,58,4,2.12,IN,1733305494
278,biltine,14.5333,20.9167,29.89,12,9,2.53,TD,1733305495
279,hilo,19.7297,-155.09,23.85,92,100,2.06,US,1733305408
280,pszow,50.0399,18.3947,2.96,87,99,0.81,PL,1733305497
281,luwingu,-10.2621,29.9271,28.18,44,96,1.68,ZM,1733305498
282,baihe,22.15,107.2333,23.52,56,28,1.28,CN,1733305499
283,luderitz,-26.6481,15.1594,22.69,56,20,10.06,NA,1733305500
284,medeiros neto,-17.3739,-40.2206,23.84,78,82,1.84,BR,1733305501
285,sarkikaraagac,38.0794,31.3664,7.65,81,86,2.13,TR,1733305503
286,almenara,-16.1836,-40.6944,23.09,88,100,1.42,BR,1733305226
287,lusambo,-4.9667,23.45,25.93,71,99,2.04,CD,1733305505
288,lompoc,34.6391,-120.4579,8.23,100,100,1.54,US,1733305506
289,alice springs,-23.7,133.8833,32.75,38,40,3.6,AU,1733305507
290,askoy,60.4092,5.226,3.16,38,40,7.2,NO,1733305508
291,sao felix do xingu,-6.6447,-51.995,22.31,99,100,0.46,BR,1733305509
292,mahalapye,-23.1041,26.8142,38.92,9,1,4.61,BW,1733305510
293,ballina,-28.8667,153.5667,24.08,91,97,6.1,AU,1733305511
294,molde,62.7375,7.1591,-3.09,86,0,3.6,NO,1733305512
295,taskent,41.2646,69.2163,1.97,93,100,1.03,UZ,1733305470
296,al hada,21.3675,40.2869,21.66,60,42,4.54,SA,1733305515
297,novyy urengoy,66.0833,76.6333,-10.03,95,61,3.65,RU,1733305516
298,barvinkove,48.9097,37.0205,2.23,75,99,4.67,UA,1733305517
299,stara zagora,42.4328,25.6419,7.87,73,88,1.01,BG,1733305518
300,wenceslau braz,-23.8739,-49.8028,18.08,95,100,5.79,BR,1733305519
301,pinarhisar,41.6242,27.52,8.15,82,100,2.78,TR,1733305520
302,newman,37.3138,-121.0208,10.55,63,2,1.13,US,1733305521
303,keflavik,64.0049,-22.5624,1.24,86,75,3.6,IS,1733305522
304,anar darah,32.7587,61.654,14.67,23,6,1.77,AF,1733305523
305,moussoro,13.6408,16.4901,28.27,13,3,5.72,TD,1733305524
306,tinogasta,-28.0632,-67.5649,17.44,63,0,1.85,AR,1733305525
307,bardai,11.65,7.2333,24.38,16,57,7.56,NG,1733305526
308,ust-nera,64.5667,143.2,-19.83,99,99,0.25,RU,1733305527
309,gisborne,-38.6533,178.0042,17.64,77,53,2.51,NZ,1733305529
310,strezhevoy,60.7333,77.5889,0.17,95,100,4.16,RU,1733305530
311,lokhvytsya,50.3678,33.2602,0.11,78,9,1.95,UA,1733305532
312,brak,27.5496,14.2714,18.07,31,81,0.84,LY,1733305533
313,berezovyy,51.6667,135.7,-25.86,100,100,1.39,RU,1733305534
314,bayganin,48.6947,55.8742,-0.26,66,94,1.67,KZ,1733305535
315,kidal,18.4411,1.4078,25.15,13,97,6.7,ML,1733305536
316,timbuktu,16.7735,-3.0074,25.87,11,100,5.95,ML,1733305537
317,nikolayevsk-on-amure,53.1406,140.73,-26.38,98,14,1.47,RU,1733305538
318,maintirano,-18.0667,44.0167,29.68,60,32,6.07,MG,1733305541
319,santa catarina mita,14.45,-89.75,15.83,87,100,3.69,GT,1733305544
320,karratha,-20.7377,116.8463,29.29,53,2,10.83,AU,1733305545
321,riosucio,5.4216,-75.7032,15.85,99,98,0.32,CO,1733305546
322,yasnyy,51.0333,59.8742,-3.96,96,84,3.91,RU,1733305547
323,caohe,30.2297,115.4335,12.67,68,82,4.85,CN,1733305551
324,atherton,53.5237,-2.4935,5.25,97,55,0.45,GB,1733305552
325,arraial do cabo,-22.9661,-42.0278,23.92,94,40,3.6,BR,1733305553
326,amparafaravola,-17.5833,48.2167,27.44,49,100,2.82,MG,1733305555
327,nouadhibou,20.931,-17.0347,19.99,37,0,4.12,MR,1733305556
328,lospalos,-8.5186,127.0025,24.49,84,100,0.17,TL,1733305557
329,moratalla,38.1893,-1.8918,12.22,67,69,10.56,ES,1733305558
330,tumayr,25.7039,45.868,25.99,25,7,7.73,SA,1733305559
331,coronel dorrego,-38.7187,-61.2873,16.23,42,4,7.16,AR,1733305560
332,mount gambier,-37.8333,140.7667,14.48,84,0,2.04,AU,1733305562
333,tapes,-30.6733,-51.3958,18.23,63,5,2.37,BR,1733305480
334,ebon,4.582,168.6964,28.75,78,11,7.64,MH,1733305564
335,arhribs,36.7936,4.3116,11.23,97,100,2.66,DZ,1733305565
336,yorkton,51.2167,-102.4677,-15.09,78,100,10.29,CA,1733305566
337,miri,4.4148,114.0089,30.08,74,40,1.03,MY,1733305567
338,natal,-5.795,-35.2094,27.36,83,75,4.12,BR,1733305298
339,maisi,43.0395,41.2621,9.71,44,0,1.01,GE,1733305569
340,kongwa,-6.2,36.4167,27.22,49,66,3.99,TZ,1733305570
341,papao,-17.75,-149.55,24.82,75,28,6.24,PF,1733305571
342,chu,43.5983,73.7614,6.5,54,4,0.15,KZ,1733305572
